101.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.02%;774kB / 39.2MB
102.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.02%;774kB / 39.2MB
102.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.00%;774kB / 39.2MB
103.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.00%;774kB / 39.2MB
103.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.04%;774kB / 39.2MB
104.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.04%;774kB / 39.2MB
104.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.03%;774kB / 39.2MB
105.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.03%;774kB / 39.2MB
105.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.13%;774kB / 39.2MB
106.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.13%;774kB / 39.2MB
106.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.24%;774kB / 39.2MB
107.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.24%;774kB / 39.2MB
107.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.16%;774kB / 39.2MB
108.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.16%;774kB / 39.2MB
108.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.23%;774kB / 39.2MB
109.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.23%;774kB / 39.2MB
109.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.12%;774kB / 39.2MB
110.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.12%;774kB / 39.2MB
110.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.03%;774kB / 39.2MB
111.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.03%;774kB / 39.2MB
111.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.15%;774kB / 39.2MB
112.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.15%;774kB / 39.2MB
112.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.18%;774kB / 39.2MB
113.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.18%;774kB / 39.2MB
113.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.33%;774kB / 39.2MB
114.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.33%;774kB / 39.2MB
114.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.26%;774kB / 39.2MB
115.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.26%;774kB / 39.2MB
115.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.09%;774kB / 39.2MB
116.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.09%;774kB / 39.2MB
116.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.00%;774kB / 39.2MB
117.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.00%;774kB / 39.2MB
