67.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.02%;628kB / 7.66MB
67.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.13%;628kB / 7.66MB
68.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.13%;628kB / 7.66MB
68.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.32%;628kB / 7.66MB
69.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.32%;628kB / 7.66MB
69.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.14%;628kB / 7.66MB
70.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.14%;628kB / 7.66MB
70.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.11%;628kB / 7.66MB
71.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.11%;628kB / 7.66MB
71.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.12%;628kB / 7.66MB
72.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.12%;628kB / 7.66MB
72.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.02%;628kB / 7.66MB
73.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.02%;628kB / 7.66MB
73.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.05%;628kB / 7.66MB
74.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.05%;628kB / 7.66MB
