67.0;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.02%;424kB / 2.49MB
67.5;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.04%;424kB / 2.49MB
68.0;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.04%;424kB / 2.49MB
68.5;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.04%;424kB / 2.49MB
69.0;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.04%;424kB / 2.49MB
69.5;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.14%;424kB / 2.49MB
70.0;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.14%;424kB / 2.49MB
70.5;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.02%;424kB / 2.49MB
71.0;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.02%;424kB / 2.49MB
71.5;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
72.0;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
72.5;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
73.0;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
73.5;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.02%;424kB / 2.49MB
74.0;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.02%;424kB / 2.49MB
74.5;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.24%;424kB / 2.49MB
75.0;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.24%;424kB / 2.49MB
75.5;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.04%;424kB / 2.49MB
76.0;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.04%;424kB / 2.49MB
76.5;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
77.0;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
77.5;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.03%;424kB / 2.49MB
78.0;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.03%;424kB / 2.49MB
78.5;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
79.0;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
79.5;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.02%;424kB / 2.49MB
80.0;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.02%;424kB / 2.49MB
80.5;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.02%;424kB / 2.49MB
81.0;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.02%;424kB / 2.49MB
81.5;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.02%;424kB / 2.49MB
82.0;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.02%;424kB / 2.49MB
82.5;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
83.0;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
83.5;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.08%;424kB / 2.49MB
84.0;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.08%;424kB / 2.49MB
84.5;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.02%;424kB / 2.49MB
85.0;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.02%;424kB / 2.49MB
85.5;844fca7f57ad;quicker;76.66MiB / 1.953GiB;3.83%;0.04%;424kB / 2.49MB
