53.0;a98684bbe911;quicker;137.2MiB / 1.953GiB;6.86%;1.85%;1.18MB / 5.89MB
53.5;a98684bbe911;quicker;137.2MiB / 1.953GiB;6.86%;4.12%;1.18MB / 5.95MB
54.0;a98684bbe911;quicker;137.2MiB / 1.953GiB;6.86%;4.12%;1.18MB / 5.95MB
54.5;a98684bbe911;quicker;137.3MiB / 1.953GiB;6.87%;10.48%;1.18MB / 6.12MB
55.0;a98684bbe911;quicker;137.3MiB / 1.953GiB;6.87%;10.48%;1.18MB / 6.12MB
55.5;a98684bbe911;quicker;137.3MiB / 1.953GiB;6.87%;1.45%;1.18MB / 6.12MB
56.0;a98684bbe911;quicker;137.3MiB / 1.953GiB;6.87%;1.45%;1.18MB / 6.12MB
56.5;a98684bbe911;quicker;137.3MiB / 1.953GiB;6.87%;0.97%;1.18MB / 6.12MB
57.0;a98684bbe911;quicker;137.3MiB / 1.953GiB;6.87%;0.97%;1.18MB / 6.12MB
57.5;a98684bbe911;quicker;137.4MiB / 1.953GiB;6.87%;5.22%;1.19MB / 6.18MB
58.0;a98684bbe911;quicker;137.4MiB / 1.953GiB;6.87%;5.22%;1.19MB / 6.18MB
58.5;a98684bbe911;quicker;137.4MiB / 1.953GiB;6.87%;1.23%;1.19MB / 6.18MB
59.0;a98684bbe911;quicker;137.4MiB / 1.953GiB;6.87%;1.23%;1.19MB / 6.18MB
59.5;a98684bbe911;quicker;137.8MiB / 1.953GiB;6.89%;15.79%;1.19MB / 6.38MB
60.0;a98684bbe911;quicker;137.8MiB / 1.953GiB;6.89%;15.79%;1.19MB / 6.38MB
60.5;a98684bbe911;quicker;137.7MiB / 1.953GiB;6.88%;3.56%;1.19MB / 6.43MB
61.0;a98684bbe911;quicker;137.7MiB / 1.953GiB;6.88%;3.56%;1.19MB / 6.43MB
61.5;a98684bbe911;quicker;137.7MiB / 1.953GiB;6.88%;0.76%;1.19MB / 6.43MB
62.0;a98684bbe911;quicker;137.7MiB / 1.953GiB;6.88%;0.76%;1.19MB / 6.43MB
62.5;a98684bbe911;quicker;137.7MiB / 1.953GiB;6.88%;0.70%;1.19MB / 6.43MB
63.0;a98684bbe911;quicker;137.7MiB / 1.953GiB;6.88%;0.70%;1.19MB / 6.43MB
63.5;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;8.62%;1.19MB / 6.48MB
64.0;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;8.62%;1.19MB / 6.48MB
64.5;a98684bbe911;quicker;137.8MiB / 1.953GiB;6.89%;0.78%;1.19MB / 6.51MB
65.0;a98684bbe911;quicker;137.8MiB / 1.953GiB;6.89%;0.78%;1.19MB / 6.51MB
65.5;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;6.51%;1.19MB / 6.55MB
66.0;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;6.51%;1.19MB / 6.55MB
66.5;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.31%;1.19MB / 6.55MB
67.0;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.31%;1.19MB / 6.55MB
67.5;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;1.26%;1.19MB / 6.55MB
68.0;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;1.26%;1.19MB / 6.55MB
68.5;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.21%;1.19MB / 6.55MB
69.0;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.21%;1.19MB / 6.55MB
69.5;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.25%;1.19MB / 6.55MB
70.0;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.25%;1.19MB / 6.55MB
70.5;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.19%;1.19MB / 6.55MB
71.0;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.19%;1.19MB / 6.55MB
71.5;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.10%;1.19MB / 6.55MB
72.0;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.10%;1.19MB / 6.55MB
72.5;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.20%;1.19MB / 6.55MB
73.0;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.20%;1.19MB / 6.55MB
73.5;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.27%;1.19MB / 6.55MB
74.0;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.27%;1.19MB / 6.55MB
74.5;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.35%;1.19MB / 6.55MB
75.0;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.35%;1.19MB / 6.55MB
75.5;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.23%;1.19MB / 6.55MB
76.0;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.23%;1.19MB / 6.55MB
76.5;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.15%;1.19MB / 6.55MB
77.0;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.15%;1.19MB / 6.55MB
77.5;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.25%;1.19MB / 6.55MB
78.0;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.25%;1.19MB / 6.55MB
78.5;a98684bbe911;quicker;137.9MiB / 1.953GiB;6.89%;0.27%;1.19MB / 6.55MB
