53.0;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.00%;167kB / 4.68MB
53.5;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.02%;167kB / 4.68MB
54.0;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.02%;167kB / 4.68MB
54.5;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.00%;167kB / 4.68MB
55.0;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.00%;167kB / 4.68MB
55.5;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.16%;167kB / 4.68MB
56.0;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.16%;167kB / 4.68MB
56.5;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.09%;167kB / 4.68MB
57.0;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.09%;167kB / 4.68MB
57.5;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.02%;167kB / 4.68MB
58.0;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.02%;167kB / 4.68MB
