83.0;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.13%;6.88%;811kB / 7.66MB
83.5;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.14%;0.52%;811kB / 7.66MB
84.0;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.14%;0.52%;811kB / 7.66MB
84.5;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.14%;0.35%;811kB / 7.66MB
85.0;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.14%;0.35%;811kB / 7.66MB
85.5;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.14%;0.34%;811kB / 7.66MB
86.0;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.14%;0.34%;811kB / 7.66MB
86.5;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.14%;0.91%;811kB / 7.66MB
87.0;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.14%;0.91%;811kB / 7.66MB
87.5;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.14%;1.89%;811kB / 7.68MB
88.0;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.14%;1.89%;811kB / 7.68MB
88.5;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.13%;3.17%;812kB / 7.7MB
89.0;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.13%;3.17%;812kB / 7.7MB
89.5;5ff1e1f692ea;quicker;142.8MiB / 1.953GiB;7.14%;4.54%;813kB / 7.71MB
90.0;5ff1e1f692ea;quicker;142.8MiB / 1.953GiB;7.14%;4.54%;813kB / 7.71MB
90.5;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.13%;0.82%;813kB / 7.71MB
91.0;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.13%;0.82%;813kB / 7.71MB
91.5;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.13%;0.40%;813kB / 7.71MB
92.0;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.13%;0.40%;813kB / 7.71MB
92.5;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.13%;0.48%;813kB / 7.71MB
93.0;5ff1e1f692ea;quicker;142.7MiB / 1.953GiB;7.13%;0.48%;813kB / 7.71MB
